time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-26T06:08:55.858Z,38.7355,-97.0384,5,3,mb_lg,,41,0.495,0.62,us,us6000cd6r,2020-10-26T18:35:45.695Z,"6 km NNE of Hope, Kansas",earthquake,1.9,1.9,0.051,99,reviewed,us,us
2020-10-26T03:56:33.939Z,54.7322,-159.628,28.81,3.8,mb,,206,0.101,0.6,us,us6000cd68,2020-10-26T21:11:36.535Z,"87 km SE of Sand Point, Alaska",earthquake,3.7,9.2,0.154,11,reviewed,us,us
2020-10-26T02:35:08.015Z,61.4645,-140.4192,10,2.6,ml,,36,0.702,0.72,us,us6000cd56,2020-10-26T03:42:26.040Z,"133 km E of McCarthy, Alaska",earthquake,1.3,2,0.039,86,reviewed,us,us
2020-10-26T01:28:03.178Z,53.6862,-159.7483,10,4.2,mb,,188,1.151,1.13,us,us6000cd4r,2020-10-26T04:43:14.657Z,"190 km SSE of Sand Point, Alaska",earthquake,6.7,2,0.115,21,reviewed,us,us
2020-10-26T00:07:03.060Z,36.4331667,-90.829,11.8,2.57,md,27,69,0.4476,0.16,nm,nm60313112,2020-10-26T13:15:53.470Z,"6 km ENE of Maynard, Arkansas",earthquake,0.26,1.04,0.041,16,reviewed,nm,nm
2020-10-25T22:54:03.060Z,47.2935,-113.1578333,21.77,2.59,ml,26,163,0.215,0.18,mb,mb80471819,2020-10-26T14:21:35.380Z,"27 km ENE of Seeley Lake, Montana",earthquake,0.47,0.63,0.144,13,reviewed,mb,mb
2020-10-25T22:46:05.053Z,54.3407,-159.5936,29.04,4.1,mb,,155,0.491,0.83,us,us6000cd3y,2020-10-28T03:37:53.040Z,"125 km SSE of Sand Point, Alaska",earthquake,5.6,7.3,0.134,15,reviewed,us,us
2020-10-25T21:44:50.984Z,38.9397,-96.9923,10,2.5,mb_lg,,154,0.338,0.42,us,us6000cd2w,2020-10-28T03:00:27.375Z,"4 km SE of Chapman, Kansas",earthquake,3,2,0.361,2,reviewed,us,us
2020-10-25T18:08:46.938Z,54.2741,-159.6711,19.77,3.6,ml,,212,0.56,0.46,us,us6000cd1g,2020-10-25T19:43:41.040Z,"129 km SSE of Sand Point, Alaska",earthquake,7.9,12.8,0.077,26,reviewed,us,us
2020-10-25T16:53:43.563Z,54.3702,-159.7239,20.22,3.8,mb,,206,0.468,0.5,us,us6000cd0z,2020-10-26T00:56:09.229Z,"118 km SSE of Sand Point, Alaska",earthquake,3.4,11.3,0.227,5,reviewed,us,us
2020-10-25T13:13:43.755Z,38.1567,-117.9507,9.8,2.7,ml,32,31.83,0.019,0.1407,nn,nn00780365,2020-10-25T19:04:46.109Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.22,17,reviewed,nn,nn
2020-10-25T12:55:53.270Z,32.9216667,-117.6743333,17.85,2.58,ml,57,148,0.3713,0.2,ci,ci39444559,2020-10-28T05:17:43.040Z,"38km WSW of Encinitas, CA",earthquake,0.42,0.94,0.131,161,reviewed,ci,ci
2020-10-25T12:38:52.980Z,54.9276,-160.2497,26.07,3.9,ml,,152,0.393,0.63,us,us6000ccyr,2020-10-25T17:16:39.941Z,"48 km SSE of Sand Point, Alaska",earthquake,5.8,13.7,0.064,32,reviewed,us,us
2020-10-25T08:25:28.653Z,54.5986,-159.6482,27,3.9,mb,,202,0.235,0.76,us,us6000ccx3,2020-10-25T16:32:19.384Z,"98 km SSE of Sand Point, Alaska",earthquake,8.7,10.8,0.181,8,reviewed,us,us
2020-10-25T08:18:10.861Z,58.7532,-137.5249,5.2,3.5,ml,,,,0.63,ak,ak020dqmk47r,2020-10-26T18:12:40.040Z,"92 km NW of Elfin Cove, Alaska",earthquake,,0.2,,,reviewed,ak,ak
